,title,mean,rank,popularity,num_list_users,num_scoring_users,status,num_chapters,ranking.rank,rating,members,genres0
157,Akagami no Shirayuki-hime,8.26,311.0,182,61561,19032,currently_publishing,0,311,7.93,157551,Fantasy
158,Yuru Yuri,8.26,312.0,1193,12448,3049,currently_publishing,0,312,7.7,148140,Comedy
160,Hai to Gensou no Grimgar,7.19,5220.0,2519,6111,1127,finished,16,5220,7.87,213342,Action
162,Genshiken,8.25,323.0,382,34860,11890,finished,127,323,7.76,104258,Comedy
164,Shonan Junai Gumi!,8.24,326.0,822,17093,5716,finished,267,326,7.6,20261,Action
165,Tasogare Otome x Amnesia,8.24,332.0,311,41209,16482,finished,54,332,7.95,172367,Romance
166,Danshi Koukousei no Nichijou,8.24,333.0,665,20511,6830,finished,138,333,8.35,258914,Comedy
168,Rokka no Yuusha,7.14,5809.0,3617,4214,1013,finished,16,5809,7.63,218747,Action
169,Boku no Hero Academia,8.24,338.0,6,367240,178411,currently_publishing,0,338,8.36,282002,Action
171,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.65,1741.0,375,35518,12317,discontinued,89,1741,7.88,336349,Action
172,Yugami-kun ni wa Tomodachi ga Inai,8.23,342.0,678,20214,6853,finished,81,342,5.86,858,Comedy
173,Saiyuuki Reload,8.23,348.0,2051,7451,2973,finished,66,348,7.54,16298,Action
174,Aku no Hana,8.23,351.0,67,119167,57174,finished,58,351,7.22,86669,Drama
175,Shouwa Genroku Rakugo Shinjuu,8.23,352.0,2466,6232,898,finished,31,352,8.59,71295,Drama
179,High School DxD,7.57,2127.0,597,22647,8458,finished,78,2127,7.7,398660,Ecchi
180,Ookiku Furikabutte,8.21,370.0,1724,8723,2339,currently_publishing,0,370,8.11,49599,Comedy
181,Sora no Otoshimono,8.21,372.0,324,40212,18433,finished,97,372,7.68,227681,Comedy
183,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.2,377.0,1109,13177,4893,finished,13,377,8.62,463835,Drama
185,Fukigen na Mononokean,8.2,380.0,1383,10916,3118,finished,93,380,7.46,44786,Supernatural
186,Yuu☆Yuu☆Hakusho,8.2,382.0,210,56015,26302,finished,176,382,8.47,195017,Action
